,Species,Intercept,Corrs,MAE,MAE_Base,bFFP_Annual,NFFD_wt_Annual,PAS_wt_Annual,NFFD_sp_Annual,PAS_sp_Annual
1849,Ratibida columnifera,178.2934603,0.172641156,18.95184716,20.68112245,0.203041211,-0.130537473,0.099038396,-0.09780877,0.028867649
1850,Rhamnus crocea,106.8026073,0.207039705,24.39360987,29.86556927,0.310970451,-0.214042528,0.216052216,-0.047557993,0
1851,Rhamnus ilicifolia,147.952337,0.264176718,26.44022242,31.22593694,0.322854624,-0.609208738,-0.451752486,-0.138222769,0.052117112
1852,Rhaponticum repens,208.4555556,0,38.42740741,38.42740741,0,0,0,-7.73E-18,0
1853,Rhexia virginica,214.2028101,0.050818196,17.88367355,18.37616528,0.054127735,-0.043083645,0,-0.04728501,0.062726171
1854,Rhododendron albiflorum,180.5375778,0.117729296,14.46813191,15.41787085,0.180190106,0.633331029,-0.003999357,-0.378135377,0.02928815
1855,Rhododendron canescens,80.61212729,0.115479428,24.70264202,29.66118343,0.488841103,0.326517063,0.094397816,-0.25955944,0.124945939
1856,Rhododendron occidentale,205.9743445,0.052512609,36.05889526,37.68197279,0,-0.378776402,0,0,0.04106191
1857,Rhododendron viscosum,184.7200013,0.032564201,17.82056925,18.00656784,0.018736596,-0.017034161,0.017871306,-0.022990449,0.028852544
1858,Rhus aromatica,118.3891928,0.125990542,33.75021762,38.22765432,0.229884329,-0.193161492,0.000301433,-0.153266493,0
1859,Rhus glabra,189.7160413,0.196645705,15.92533292,19.39229295,0,0,0.108135591,-0.241801828,0
1860,Rhus ovata,80.69472231,0.078521515,36.82995723,38.30202049,0.391116153,0,0,0,0
1861,Rhus trilobata,155.5724663,0.234744591,23.68330425,31.05447412,0.196124359,0,-0.083710688,-0.745274876,-0.044926819
1862,Ribes aureum,129.6690119,0.343352381,23.61421024,31.37532879,0.204310375,-0.039531113,0,-0.571407498,0.133737829
1863,Ribes cereum,160.3065623,0.317872436,24.01684803,30.20894147,0.14823344,0.933925845,0.047409294,-0.895814685,0.025264147
1864,Ribes divaricatum,317.7066037,0.142865081,21.19417487,22.84657071,-0.577047599,-0.499885012,-0.086676876,-1.599521678,0.267475673
1865,Ribes hudsonianum,139.2487834,0.4472943,11.97620327,17.18472315,0.167470036,0,0.012116779,-0.298760766,0.121665655
1866,Ribes indecorum,409.0284415,0.186309212,33.38119165,37.19972222,-0.768060934,-1.055584638,5.904665707,-2.785305199,-14.36357749
1867,Ribes lacustre,111.7801599,0.309842685,17.06898952,21.53517273,0.367197271,0,0,0,0.077656577
1868,Ribes malvaceum,59.9587695,0.031590874,46.48942352,47.27166379,0.243341996,-0.068959068,-0.003152113,-0.009669753,-0.019029083
1869,Ribes menziesii,120.4705882,0,55.13395947,55.13395947,0,0,0,0,0
1870,Ribes montigenum,161.7726252,0.123459116,16.23167585,17.38128662,0.12026669,0.666437907,0.023323062,0,0.031304688
1871,Ribes nevadaense,122.4702589,0.242653136,25.84169342,29.89212783,0.308686318,0,0.017553559,0,0.068730632
1872,Ribes quercetorum,117.1285026,0.054491919,28.97738018,30.00123115,0,-0.536921114,0,0,0
1873,Ribes roezlii,206.5619224,0.314500381,33.81785152,40.67892828,0,-1.350179248,0.003225779,0,-0.007678782
1874,Ribes sanguineum,39.07567016,0.325700571,30.97262405,42.807104,0.682946435,0.345016394,0.048731626,0,0.146732754
1875,Ribes velutinum,47.2228606,0.356595638,26.98177254,35.01929209,0.711303401,0,0.054609282,0,0
1876,Ribes viscosissimum,152.4379012,0.195666495,17.45986523,19.28362711,0.179682674,0.583606686,0.009254423,-0.457745874,0.029193461
1877,Rigiopappus leptocladus,135.6729264,0.396935971,14.29425542,19.14245786,0.153838054,0,0.16092337,-0.188219373,0.063532504
1878,Robinia neomexicana,178.9580717,0.19205249,13.7637301,16.56384,0,0,0.026114043,-0.346045347,0.090768456
1879,Robinia pseudoacacia,153.9219676,0.486792092,12.65211858,23.91384789,0.303859201,0.477385888,0.02277164,-0.904917594,-0.110439841
1880,Rorippa curvipes,319.9208439,0.302923437,27.29945559,33.00861804,-0.367642026,1.750356547,-0.014884523,-1.872471398,-0.022200697
1881,Rorippa curvisiliqua,204.6258442,0.082793564,30.91188789,33.57893333,0.027130823,0.571653353,0.030967275,-0.703405272,0.003426442
1882,Rorippa palustris,148.376154,0.136538882,35.74956482,38.58288834,0.387096668,0,0,0,0
1883,Rosa acicularis,178.603926,0.04941872,13.61797417,14.34449611,0.000472026,0,0.010731876,-0.004109383,0.042779436
1884,Rosa californica,154.6182023,0.042806971,44.74685745,45.9749751,0.302388067,0,-0.112459142,0.241404278,0
1885,Rosa carolina,193.6676817,0.234164965,17.03694312,23.72130102,0,0,0.069527135,-0.438986432,0
1886,Rosa gymnocarpa,184.326087,0,28.9768431,28.9768431,0,0,0,0,0
1887,Rosa nutkana,242.4176492,0.15388073,24.29178968,28.31780692,-0.185420098,0.793876856,0.012286783,-1.278319752,0.076870326
1888,Rosa woodsii,154.5221179,0.179571104,16.50289316,19.48949173,0.234019991,0.181611784,0.018661472,-0.328152197,0.016104585
1889,Rubus flagellaris,187.4180035,0.351816985,16.78808209,23.69806094,0,0,0.063266368,-0.685049517,0
1890,Rubus idaeus,214.7958395,0.138705488,19.22543424,20.77017323,-0.109351788,0.888196446,0.012938203,-0.557611986,0.057202034
1891,Rubus neomexicanus,153.1879121,0.149553107,31.2938057,33.36505453,0,0.781244541,-0.130091518,0,0
1892,Rubus parviflorus,168.6672107,0.32949971,12.20917418,15.34710744,0.1377608,-0.160204707,0.028819718,-0.193468195,0.032295376
1893,Rubus praecox,175.4738149,0.043112898,28.5519713,29.99932096,0,0,0.097571455,-0.029569599,0.063634115
1894,Rubus ursinus,127.7448891,0.226640603,28.85260833,35.07198903,0.315179985,-0.133300224,0.047781015,-0.113818852,0.090053859
1895,Rudbeckia hirta,188.6627893,0.050096434,27.92511765,29.59940741,0.080846609,0,0.045281805,-0.055138435,0.021766037
1896,Rudbeckia laciniata,346.216275,0.256671058,20.73999169,24.80753475,-0.729676872,0.13738226,-0.02826969,-0.498361785,0.097387902
1897,Rudbeckia occidentalis,212.443787,0,14.84345786,14.84345786,0,0,0,0,6.53E-18
1898,Rumex acetosella,115.0453596,0.298028041,23.37321334,29.11693355,0.414828323,0,0.011825542,0,0.045429962
1899,Rumex conglomeratus,181.8992913,0.096881442,28.56674047,31.43415638,0.162950499,-0.078012819,0.04518872,-0.035413579,0
1900,Rumex crispus,157.6551815,0.264095075,29.74973069,35.84504744,0.339370791,0,0,-0.269889694,0
1901,Rumex hymenosepalus,122.7203509,0.177289429,15.51415072,17.26378999,0.060628723,-0.076162487,0.441500016,-0.381271244,-0.067565874
1902,Rumex maritimus,221.8895028,0,29.06138396,29.06138396,0,0,0,0,0
1903,Rumex obtusifolius,161.7340087,0.115336138,36.02517011,37.76817558,0.258691319,0,0,0,0.134898959
1904,Rumex paucifolius,329.2729108,0.301845209,16.11522652,21.08574448,-0.64470925,1.544390458,-0.01366275,-2.120765686,0.026379674
1905,Rumex salicifolius,155.9482205,0.190117261,30.79302512,35.25720136,0.293954727,0,0.012612444,0,0
1906,Rumex triangulivalvis,197.4775272,0.056016863,23.38016621,23.804098,0.019214415,0,0.036152603,-0.013901857,0.035022125
1907,Rumex venosus,177.7418333,0.379232593,13.19574035,17.1748,0,0,-0.013451932,-0.684563356,0
1908,Sagina saginoides,201.1866032,0.086059948,19.5494064,20.70343466,0,0,0.005509181,0,0.053145192
1909,Sagittaria cuneata,210.5472973,0,16.01287436,16.01287436,0,0,5.93E-18,0,0
1910,Sagittaria latifolia,317.0642791,0.101340977,18.70353048,20.75946445,-0.517666026,0.074290836,-0.00501214,-0.598160141,-0.086033842
1911,Sairocarpus coulterianus,126.0355126,0.237013072,19.87262909,23.62890955,0.272153857,0,0.187527094,0,0
1912,Sairocarpus multiflorus,95.95875766,0.035064509,31.48663269,32.16501605,0.191121812,0.535162501,1.253943283,0.192144307,0.783781971
1913,Salix amygdaloides,164.676434,0.160191038,19.97190397,23.15984037,0,0,0,-0.32684464,0.202457637
1914,Salix barclayi,177.844427,0.359110948,13.90979099,17.85427296,0.155377902,1.935482416,0.026294649,-1.226586264,-0.001222642
1915,Salix bebbiana,187.2766656,0.26243718,19.80971103,23.91308372,0,0,-0.031468535,-0.915019999,0.059008003
1916,Salix boothii,60.7478571,0.33154486,22.9637144,29.80017301,0.650159784,2.52286895,0.022166296,-0.581082267,0.040800433
1917,Salix drummondiana,152.694744,0.106135462,24.62691574,26.73579037,0.029372984,0,0.029155276,-0.021635888,0.056583143
1918,Salix eastwoodiae,273.2297894,0.208708698,15.96319335,17.37299227,-0.417342679,1.148976834,0.048768904,-1.066566323,0.003550568
1919,Salix exigua,188.5392479,0.217796091,30.05595063,37.05627673,0,-0.03259013,0.087966548,-0.69620114,0
1920,Salix geyeriana,239.3873057,0.266390845,18.94946636,23.11224112,-0.283535779,1.045303619,0.031781877,-1.393080161,0.032966673
1921,Salix gooddingii,125.4971463,0.099709528,20.16227185,21.66430838,0.157886325,0.085006606,0.314526509,-0.409871718,-0.063346319
1922,Salix hookeriana,99.36224784,0.028792557,27.78286555,28.67847442,0.07731079,-0.034358348,0.100539581,-0.010302872,0.050581316
1923,Salix laevigata,93.22212956,0.086665706,24.50972659,26.39841598,0.245176711,0,0,0,0
1924,Salix lasiandra,87.99108845,0.339475284,24.65155874,33.04353098,0.483612144,0,0.052306835,0,0.043602822
1925,Salix lasiolepis,97.13059422,0.257335887,35.17916171,44.66358148,0.347500923,-0.286633932,0.066781055,-0.160182277,0.147846005
1926,Salix lemmonii,139.3306165,0.437380033,18.36133805,29.1849326,0.122221809,-0.036642895,0.08076533,-0.110650329,0.064365056
1927,Salix lutea,138.9552678,0.336996118,16.85212133,21.943,0.097879508,-0.060358759,0.114524663,-0.099682803,0.081652688
1928,Salix melanopsis,156.1976409,0.086919083,25.11786128,27.67129595,0.074609054,-0.017626995,0.064383509,-0.028628684,0.048798067
1929,Salix orestera,201.0367686,0.091200888,19.40939935,20.06618084,0,0,0.030177968,0,0.011282899
1930,Salix petrophila,283.3997115,0.135919468,13.05763632,13.83577806,-0.4212397,0,0.028489249,0,0.005962024
1931,Salix scouleriana,98.60620722,0.395161531,35.16543018,50.0741901,0.383634382,-0.34596006,0.064975374,-0.264562125,0.017495932
1932,Salix sitchensis,122.2037968,0.298252441,34.72848329,47.21381956,0.386331661,0,0,-0.42929478,0.050391363
1933,Salsola kali,228.362348,0.023726473,43.31237427,43.92748092,-0.097575531,0.0674694,0.105358436,-0.004022859,0.114519563
1934,Salvia apiana,137.0175032,0.05680277,28.61243822,30.29415857,0,0,1.919742292,0,0
1935,Salvia carduacea,103.1403126,0.027657339,16.92285221,17.03301606,0.120109061,0,0,-0.038821069,0
1936,Salvia columbariae,104.0260354,0.11260831,21.14422116,23.01390447,0.214418037,0.430674303,0.850130946,-0.523807378,0
1937,Salvia dorrii,142.1732313,0.139140961,21.68451107,27.03801921,0.19216805,-0.109153894,0.09336706,-0.313989273,0.076156176
1938,Salvia mellifera,-2.699283721,0.02713214,31.71915929,31.902356,0.51365336,1.196416788,-0.219584864,0,0
1939,Salvia mohavensis,140.2552227,0.111968083,31.08872514,37.98350307,0.369631421,-0.337847234,-0.008032025,-0.003015171,0
1940,Salvia sonomensis,130.2987137,0.023842778,39.85082672,41.39781471,0.06634405,-0.035048265,0.107077543,-0.01894644,0.010189902
1941,Sambucus canadensis,130.1833046,0.232836406,25.32076142,33.0790051,0.394872201,0,0.005112304,0,0
1942,Sambucus cerulea,248.5316011,0.156525866,15.67972151,17.31712963,-0.230370671,-0.221229347,0.00625322,-0.652498035,-0.000374343
1943,Sambucus racemosa,160.8716404,0.471255027,13.97478198,20.11291365,0.062047264,-0.292116447,0.015826796,-0.148246637,0.095091873
1944,Samolus valerandi,427.6737846,0.196165562,40.20939711,46.75916824,-0.529801953,0.068702319,-0.334507354,-2.433933321,0
1945,Sanguisorba minor,171.5080399,0.12400595,30.14389625,32.49228334,0.162577798,-0.211004997,-0.111167836,-0.164501667,0.109368666
1946,Sanicula crassicaulis,121.9160326,0.250015313,18.36521374,21.52499282,0.16076017,-0.183303468,0.408755158,-0.073436699,0.056204431
1947,Sanvitalia aberti,256.5359583,0.026178205,13.89924785,14.11214661,-0.044323426,0.018616556,0,0.036582578,0
1948,Saponaria officinalis,218.1273853,0.023052399,23.62515271,23.74195782,0.061660953,0,0,-0.09868969,0
1949,Sarcobatus vermiculatus,303.8272546,0.167098359,31.06441682,34.10140199,-0.276414593,1.363362568,-0.088712327,-1.841804168,0
1950,Sarcostemma cynanchoides,170.39834,0.007842916,56.22838031,56.32914396,0,-0.290546057,0,0,0
1951,Saxifraga arguta,200.4569345,0.22621356,12.97296651,15.00150096,0,0.632895516,0.012641505,-0.360889172,0.031878719
1952,Saxifraga bronchialis,173.3039916,0.14331244,15.20611405,16.63087483,0.133124482,0,0.00189707,-0.123068638,0.039627736
1953,Saxifraga californica,70.69611124,0.292209167,16.35497384,19.14478114,0.277309446,0,0.154180994,0,0
1954,Saxifraga cespitosa,134.9736516,0.6330819,15.69959787,28.80761317,0.354478906,-0.186095422,0.013138699,-0.192955836,0.010955351
1955,Saxifraga ferruginea,124.6002659,0.25784902,16.0382546,18.65056187,0.483733797,0,-0.001335858,0,0.012778802
1956,Saxifraga integrifolia,159.2754444,0.432706838,18.34709691,23.28647327,0,-0.069922562,0.036023828,-0.665098497,0.055897592
1957,Saxifraga mertensiana,98.96211415,0.810077182,17.36320503,43.11135477,0.527672708,-0.229953951,0.041896329,-0.279219384,0.024576355
1958,Saxifraga nidifica,277.361241,0.594224044,15.30685439,27.90928819,-0.382437621,-0.311950455,-0.040813644,-1.704662438,0.048017342
1959,Saxifraga occidentalis,232.3111918,0.58524388,15.68165955,25.08163265,-0.229066418,0.562524829,0.031321222,-1.376756861,0.044958336
1960,Saxifraga odontoloma,185.6256613,0.193913926,12.4395614,13.56321199,0.06148212,0.056469319,0.02474753,-0.019069667,0.027780168
1961,Saxifraga oregana,146.7178461,0.36904821,16.25947819,19.0864379,0.194524713,-0.097992542,0.028161276,-0.162808966,0.060642852
1962,Saxifraga reflexa,185.8442048,0.393829793,15.60235721,21.64564565,-0.013999953,-0.441296425,0.010471643,-0.598364384,0.062637039
1963,Saxifraga rhomboidea,238.6897635,0.514432812,15.53334426,25.41132813,-0.358865439,0,0.008416311,-1.096273061,0.119926332
1964,Saxifraga tolmiei,220.6875,0,12.16927083,12.16927083,0,0,0,0,0
1965,Schismus arabicus,91.31994384,0.413530565,17.782155,22.57795561,0.398355289,0.193209993,3.86648406,-0.452934268,0
1966,Schismus barbatus,347.6948013,0.102088357,22.69980275,25.39067604,-0.379677704,-0.420229733,0,-2.393972792,0
1967,Schizachyrium scoparium,239.9351852,0,31.8079561,31.8079561,-1.22E-17,0,0,0,0
1968,Schoenoplectus acutus,178.9497727,0.070686348,32.86711959,34.66695011,0.254841373,0.202857822,0.010369881,-0.204010362,-0.053674995
1969,Schoenoplectus americanus,192.6335897,0.054691183,43.26665775,45.61251029,0,0,0.080894997,-0.207188673,0.058219823
