,Species,Intercept,Corrs,MAE,MAE_Base,bFFP_Annual,NFFD_wt_Annual,PAS_wt_Annual,NFFD_sp_Annual,PAS_sp_Annual
0,Abronia elliptica,142.8987517,0.14568626,21.70149642,25.444749,0.248253848,-0.163586352,-0.109536972,-0.297335095,0
1,Abronia villosa,257.3162743,0.150756894,35.89661893,40.39722992,0.259325579,-0.177012968,0,-1.93027305,0
2,Abutilon incanum,-31.37623599,0.059836905,79.67353004,80.99001479,1.927989469,3.747751819,0.41994334,-0.93228411,0.047195782
3,Acamptopappus sphaerocephalus,99.32796242,0.049731413,20.32899124,22.62081824,0.384698654,0.232900693,0.09206254,-0.163673464,-0.003487886
4,Acer circinatum,168.046729,0,37.91073456,37.91073456,0,0,-2.37E-18,0,0
5,Acer glabrum,129.6080317,0.261099062,25.95961248,31.9178583,0.392710122,1.494553077,0.007509913,-1.070462387,0.01177104
6,Acer macrophyllum,106.2816264,0.127540311,43.19782509,47.12497375,0.416033931,0,0.105308635,0,0
7,Acer negundo,98.13035079,0.075964193,28.7475798,30.14540289,0.298262596,0,-0.093406836,0,0
8,Achillea lanulosa,167.5032499,0.16205913,18.4066876,20.05362914,0.164981248,-0.043662476,0.081532877,-0.174229845,-0.072076209
9,Achillea millefolium,174.1121524,0.237153385,20.9200256,24.79675135,0.189921719,0,0.013647711,-0.330933261,0.02353614
10,Achyronychia cooperi,676.420867,0.128655729,27.73924927,29.998388,-0.180218211,-0.435687275,-3.724344344,-6.152181359,0
11,Acmispon brachycarpus,100.5545199,0.193852957,21.29633379,24.0439922,0.300524558,0.491369587,0.519522257,-0.485956247,0.106425531
12,Acmispon maritimus,409.0986916,0.183166773,22.78298035,25.6904716,-0.498533625,0,0,-3.284623089,0
13,Acmispon parviflorus,119.3968177,0.32832367,18.62382498,23.0700831,0.247608205,0,0.185589915,-0.071366295,0
14,Acmispon wrangelianus,144.7856693,0.120588054,18.74011998,20.02222878,-0.054207405,0.13562859,1.123604982,-0.4995154,0.004545431
15,Aconitum columbianum,186.3586866,0.047814819,14.13787221,14.66436862,0.103890667,0.256983345,-0.000414319,0,0.027867868
16,Aconogonon phytolaccifolium,127.7703264,0.096555717,11.74324785,12.74747349,0.367016674,0.216617723,0.004238513,0.356248804,0.017897538
17,Acourtia wrightii,331.2205588,0.151022571,44.53178022,47.55111111,-0.574700818,-1.713150857,-1.236655547,-0.562702996,-0.37408042
18,Actaea rubra,19.01581289,0.248819654,22.78945946,27.65548723,0.860936527,0.875801837,0.012764676,0.2668027,0.030382935
19,Adenocaulon bicolor,200.186747,0,15.70017419,15.70017419,0,0,0,0,0
20,Adenophyllum porophylloides,89.73387097,0,54.85848075,54.85848075,0,0,0,0,0
21,Adenostoma fasciculatum,67.41573265,0.084621818,28.87359118,31.31158111,0.587022713,0.730831472,-0.037165899,0,0
22,Aesculus californica,149.5173838,0.042876531,17.40313271,18.08063294,0.116248545,0,0.041660112,-0.025923391,0
23,Agalinis tenuifolia,271.3035591,0.250084815,12.16621061,15.781632,-0.082883949,0.085448123,-0.083798966,0.049118174,-0.020814382
24,Agastache urticifolia,189.808342,0.11689122,16.26704978,17.26652641,0,0,0.022131698,0,0.06479483
25,Agave palmeri,210.3359375,0,17.32617188,17.32617188,0,0,0,0,0
26,Agave parryi,173.3138079,0.023847871,14.64855205,15.13757,0.022816569,-0.034997269,0.023323717,-0.020349251,0.001285174
27,Ageratina altissima,300.3953546,0.293596626,16.98600775,22.34869763,-0.399196754,0.358793525,-0.003047085,0,0
28,Ageratina herbacea,244.2032417,0.05096603,18.96318838,19.695232,0,0.304739165,0,0,0
29,Agoseris aurantiaca,200.6972452,0.177136066,14.45060837,16.092148,0,0,0.006427929,-0.225566249,0.046829605
30,Agoseris glauca,217.3132752,0.369423093,16.40606713,22.47285958,-0.108015153,0.720322293,0.017034522,-0.864299515,0.070080698
31,Agoseris heterophylla,181.9556274,0.41202419,16.94382053,23.31295099,0,-0.027238347,0.030155912,-0.677558145,0.131879894
32,Agoseris parviflora,238.005065,0.230296259,14.60388827,17.31085399,-0.380665068,0,-0.022727487,-0.715624326,0.150277385
33,Agrimonia striata,207.4861193,0.09837645,17.42953127,18.80026934,0,0.472832754,0.075667723,0,0.013091117
34,Agropyron cristatum,158.1269795,0.091405497,20.75780518,22.08673469,0.230257619,0,0.025236972,-0.205924037,0
35,Agrostis hyemalis,169.9545395,0.350085131,24.42255068,29.6366843,0.359860774,-0.60756197,-0.022959686,-0.203305319,0.037003577
36,Agrostis idahoensis,208.882166,0.125708558,16.32329285,17.79160394,0,0,0.023093062,0,0.030511849
37,Agrostis pallens,85.45216921,0.584797708,17.58607912,30.38363054,0.584093064,0,0.062542858,0.685288867,0.007180099
38,Agrostis perennans,228.9617834,0,21.4803846,21.4803846,0,0,0,0,0
39,Agrostis thurberiana,206.9259979,0.192935745,13.60373269,15.53157671,0,0,0.022618608,0,0.025304754
40,Agrostis variabilis,214.5804794,0.166071913,13.19110568,14.44263704,-0.05733275,0.127770958,0.026539114,0.090587558,0.024219717
41,Aliciella latifolia,69.07431939,0.429573001,18.12052549,24.54312376,0.638627415,0,0,0,0
42,Aliciella leptomeria,123.4327901,0.604974402,12.12481019,19.05688581,0.315144206,-0.267862239,0,-0.228051901,0.243053163
43,Alisma triviale,200.399808,0.090321012,22.37186844,23.60226251,0.047534515,0,0.087535136,0,0.044001947
44,Allionia incarnata,178.6421129,0.051277741,75.72640269,79.33167855,0.346867396,-0.223758018,0.004710382,-0.04631926,0
45,Allium acuminatum,188.3445383,0.411979779,11.62275965,17.1086793,0,0.261232129,0.02967637,-0.693667737,0.051573977
46,Allium brevistylum,180.6282873,0.122584858,13.43648594,14.10979929,0,0,0,0,0.082775051
47,Allium geyeri,200.9818884,0.158418703,22.97536589,24.50318878,0.07445158,1.090495004,-0.011836524,-0.880146799,0.010251215
48,Allium macropetalum,107.7576835,0.200333857,18.89334763,21.94078947,0.194771224,-0.192455525,0.10782677,-0.073332516,0
49,Allium schoenoprasum,173.033837,0.295919826,19.36829076,22.37334564,0.198199824,-0.227413741,0.023079455,-0.40032784,3.63E-05
50,Allium textile,149.2251147,0.261222371,11.06427293,13.38676836,0.216905473,0,-0.005134017,-0.638381802,-0.040961515
51,Allium tolmiei,156.3424712,0.435153654,13.45416285,18.48562541,0,0,0.035756484,-0.400944454,0.16940695
52,Allophyllum divaricatum,157.4378963,0.00808551,27.06019791,27.33101957,0.013061211,0,0.028568325,-0.000210296,0.006389133
53,Allophyllum gilioides,181.0466223,0.551734429,19.62927554,30.29885014,0.034960467,0,0.061978318,-0.698186541,0.037585761
54,Alnus alnobetula,183.4482975,0.014994236,26.58655825,26.83731305,0,0,0.010636553,0,0.015401877
55,Alnus incana,87.575869,0.107566263,36.12904969,38.7183668,0.673973698,0.946963894,-0.012613107,0,0.017440077
56,Alnus rhombifolia,5.083844287,0.070165724,74.97929681,79.28211806,0.743964864,2.0096598,0.264068736,0,0
57,Alopecurus aequalis,192.9152399,0.041000181,22.99417784,23.54890625,0,0,0.02312646,0,0.079931921
58,Aloysia wrightii,314.2794396,0.089307939,27.56588448,28.50392733,-0.656784111,-0.586353088,0.714349179,0.452319571,0
59,Alyssum alyssoides,182.6261803,0.213851757,14.9045089,17.29094329,0,0,0.022229671,-0.590192139,0
60,Alyssum desertorum,132.1162749,0.312046282,16.32690809,19.69329104,0.19925217,-0.361412521,-0.058015503,-0.429862449,0.17320652
61,Amaranthus blitoides,202.5869264,0.054605863,39.36033346,40.67070684,0.175797411,0,0,0,0
62,Amaranthus fimbriatus,266.1584158,0,22.41113616,22.41113616,1.39E-17,0,0,0,0
63,Amaranthus palmeri,248.5333333,0,33.32444444,33.32444444,0,0,0,0,0
64,Amaranthus powellii,247.2030482,0.178007963,25.8730298,28.4048,-0.14129895,0.140730999,-0.079891451,0.065949017,-0.07240897
65,Amaranthus retroflexus,222.1360544,0,29.26993382,29.26993382,0,0,0,0,0
66,Ambrosia acanthicarpa,148.5162166,0.098636237,24.42323761,27.71045639,0.357724151,0.154572674,-0.009582127,1.015658063,0.034429814
67,Ambrosia confertiflora,185.61464,0.048956795,39.34372225,40.69109462,0.490359199,0.193550633,-0.123586967,0.2855897,-0.002556565
68,Ambrosia deltoidea,69.55075372,0.051007492,16.11861947,17.22413045,0.250464208,0,0,0,0
69,Ambrosia dumosa,48.02216992,0.050220463,40.41202163,43.12751111,0.795146145,0.451255248,0.238381869,-0.312302766,0.016263781
70,Ambrosia psilostachya,153.556893,0.092888348,29.98805315,32.75893721,0.41708197,0.65138832,0,0.440084596,0
71,Ambrosia salsola,112.6800842,0.35892077,15.51149617,20.54540649,0.381123793,-0.204006264,0,-0.293318683,0
72,Ambrosia trifida,81.41773955,0.304971569,15.47861633,19.250801,0.730208892,0,0,1.277546974,-0.150995719
73,Amelanchier alnifolia,176.851262,0.468646899,11.91143525,20.68479157,0.013748044,0,0.02242659,-0.727719915,0
74,Amelanchier utahensis,147.5372651,0.321164261,15.915068,22.33960744,0.050301758,0.218884383,0.076365388,-0.445026646,0.064858843
75,Amorpha californica,138.5737352,0.261233063,22.51758179,26.38438776,0.329938642,0,0,0,0
76,Amorpha fruticosa,152.9187745,0.131521457,24.69607588,27.01812339,0.229850467,0,0.035570912,-0.19661886,0.089527481
77,Amsinckia eastwoodiae,145.8963113,0.102683646,18.67903533,19.28928469,0,-0.729920504,0,0,0
78,Amsinckia lycopsoides,98.23562539,0.35144293,18.58747085,23.97058824,0.294255369,0,0.132220781,-0.121795993,0.10289694
79,Amsinckia menziesii,209.4101326,0.490249242,19.90398765,29.28000224,0.031035628,-0.124133496,0.005658848,-1.223899787,0
80,Amsinckia spectabilis,100.7583737,0.267107111,23.41337414,29.44162949,0.139017829,0,4.370592747,0,0
81,Amsinckia tessellata,111.525523,0.409841246,18.45151018,24.31606036,0.311846341,0,0.281153309,-0.427776404,0
82,Anagallis arvensis,147.8442669,0.230793731,36.70370248,45.42103894,0.432539731,0,0.176669328,-0.364181594,0.34177691
83,Anaphalis margaritacea,229.8845184,0.035691701,17.91816239,18.29117839,-0.092528145,0.2142887,-0.014476894,-0.130384635,0.033061873
84,Andropogon gerardii,386.7605211,0.168234537,16.72900292,18.92844584,-0.858248186,-0.197875672,0.043650978,-0.972202578,-0.193436583
85,Androsace montana,246.7103592,0.549871093,18.39506371,28.72806108,-0.399393289,0,0.010020226,-1.779046252,0.103983594
86,Androsace occidentalis,238.1391503,0.615752634,15.6547438,30.64328125,-0.432194759,-0.620777744,0.091115245,-1.062593686,0.024540058
87,Androsace septentrionalis,188.1178278,0.321426944,20.1933056,25.56867284,0,0.461070245,0.027438243,-0.740157311,0.03559824
88,Anemone canadensis,163.5734266,0.057382099,17.42027314,18.4111926,0.065159443,0,0.040012229,-0.088961536,0.105685755
89,Anemone drummondii,169.050558,0.344664042,15.34094492,19.27609398,0.115381051,0,-0.003365271,-0.209288592,0.072283665
90,Anemone multifida,224.43532,0.336653709,13.80601141,17.82747621,-0.224779126,0.926021144,0.018632047,-0.919827762,0.057560064
91,Anemone occidentalis,205.5892542,0.2329898,17.22197484,20.28657885,0,2.110637581,0.014314975,-1.249029925,0.020349798
92,Anemone piperi,302.6923743,0.332411633,16.05067218,21.28837068,-0.636093447,0.506250631,0.03531421,-1.798968248,-0.00639905
93,Anemone tuberosa,85.48376879,0.202447437,16.18129983,18.3592168,0.173959168,-0.149993076,0.058006333,-0.081216192,-0.022231373
94,Anemonella thalictroides,59.01765505,0.450639388,15.04945503,21.61242604,0.713792884,1.218067911,-0.042494043,-0.529668012,0.083890427
95,Anemopsis californica,226.3749919,0.157089434,30.84008219,33.65970556,0.15754313,0,0,-0.875855444,0
96,Angelica arguta,197.2972413,0.189761795,14.99994062,16.64688476,0,0,0.021096324,0,0.072173142
97,Anisacanthus thurberi,136.4318182,0,36.52961433,36.52961433,3.18E-18,0,0,0,0
98,Anisocoma acaulis,102.8599526,0.483278657,14.39768147,20.78748325,0.295009946,0,0.225324582,-0.219835696,0
99,Anoda cristata,252.3414634,0,22.85940908,22.85940908,-5.61E-18,0,0,0,0
100,Antennaria anaphaloides,180.999,0.335562938,14.56967643,18.31235853,0,0,0.012594394,-0.468444054,0.108469468
101,Antennaria corymbosa,280.7374682,0.305232757,13.30255972,16.22888162,-0.438082317,0,-0.011294941,-1.087780405,0.076957088
102,Antennaria dimorpha,157.0235624,0.272690698,17.38467996,21.50135208,0,0,0,-0.592363101,0.124244352
103,Antennaria lanata,205.3641012,0.02539424,12.17066292,12.27891769,0,0,0.012519946,0,0
104,Antennaria luzuloides,177.0893732,0.350046681,13.7205358,18.02735671,0,0.30278612,0.009094564,-0.432199436,0.105234035
105,Antennaria media,254.2890893,0.156418697,15.33350971,16.00086055,-0.207731347,0,0.019631496,-1.083686613,-0.008349369
106,Antennaria neglecta,106.3432824,0.404799176,14.54635754,18.63930801,0.283497042,0,0.029796659,0,0.151150173
107,Antennaria parvifolia,170.709032,0.203494267,14.87056459,17.24712051,0,0,0.034781374,-0.457029705,0.056019272
108,Antennaria racemosa,220.5978881,0.273687037,15.24945967,18.43206277,-0.168628782,0.660432101,0.00213843,-0.861944988,0.065378892
109,Antennaria rosea,225.3960838,0.33920927,13.75017302,17.44424038,-0.195578383,0.412750891,0.025482382,-0.779391984,0.052195426
110,Antennaria umbrinella,257.3596613,0.436122686,17.25555967,24.52184364,-0.320722942,2.098232268,0.011957677,-1.572057878,0.058175117
111,Anthoxanthum odoratum,143.6991883,0.056626718,22.01426303,22.22485207,0.03454252,0,0.037765892,-0.01131048,0.039777343
112,Anthriscus caucalis,216.1140787,0.302079068,12.41563547,15.42625,0.042523885,0.243329697,0.063242483,-1.325149259,-0.738148656
113,Anticlea elegans,200.3023308,0.176210532,12.61857748,14.09694266,0,0,0.013334495,-0.215778203,0.032698558
114,Anticlea occidentalis,160.4847006,0.274156252,16.95168907,20.1579232,0.172391263,0.438998526,0.019316542,-0.246173402,0.039441178
115,Aphanes arvensis,115.7718264,0.204259947,19.79611436,22.40799922,0.149595376,-0.118891355,0.403406165,-0.121864857,0.150400494
116,Apiastrum angustifolium,108.9130489,0.028771016,17.61082946,17.96078431,0.09512139,-0.020763738,0.000558297,0,0
117,Apios americana,277.2050532,0.095078884,25.20020698,26.48259304,-0.635045133,0,0.11774531,0,0.285424512
118,Apocynum androsaemifolium,245.3462328,0.152925261,15.28904202,16.94788348,-0.205982529,0.192987512,-0.000704547,-0.689827894,0.038283292
119,Apocynum cannabinum,166.2432603,0.156953935,21.01165521,23.64099174,0.165819196,-0.074564639,0.052789548,-0.094352735,0
120,Aquilegia caerulea,183.1756763,0.128154591,12.54839981,14.29565531,0,0,0.041439772,0,0
121,Aquilegia chrysantha,110.476885,0.268405699,31.14219878,37.05828123,0.535939771,0,0,0,0
122,Aquilegia flavescens,186.5491331,0.250232173,12.273672,14.53416149,0,0,0.028872161,-0.259263021,0.033223427
123,Aquilegia formosa,94.39067363,0.26333229,18.55006781,22.72358194,0.532375537,0.228531454,0.00870512,0.182730135,0.034549403
124,Arabidopsis thaliana,99.95323211,0.421638052,15.72406783,22.0409284,0.335822371,0.296288071,0.06452695,-0.465181023,0.077511613
125,Arbutus menziesii,113.1313132,0.05724162,47.25027639,50.27589664,0.182242523,-0.037072938,0.217076458,-0.023310167,0.002118327
126,Arceuthobium campylopodum,183.6258065,0,55.40403746,55.40403746,0,0,0,0,0
127,Arctostaphylos canescens,186.7362637,0,66.57891559,66.57891559,2.82E-18,0,0,0,0
128,Arctostaphylos columbiana,151.5602809,0.024128594,67.93804912,68.87464616,0,0,-0.197356409,0,0
129,Arctostaphylos glandulosa,52.22540893,0.09674435,60.39802789,64.52660484,0.348409193,0,1.246983771,0.314653385,0
130,Arctostaphylos manzanita,49.47649205,0.110860561,59.32483296,66.95444234,0.616553271,0,0.591247241,0,0
131,Arctostaphylos nevadensis,190.4586155,0.021383876,26.64833056,27.00208117,0,0,0.000977511,0,0.029709895
132,Arctostaphylos patula,144.9304571,0.092140696,42.24760678,44.71094786,0.115810777,-0.017619827,0.076642475,-0.073514064,0.068229796
133,Arctostaphylos stanfordiana,51.88117668,0.040685397,46.00996577,47.91020408,0.487706107,0,0,0,0
134,Arctostaphylos tomentosa,-530.021871,0.083784733,58.40591268,62.34510212,2.179252227,2.031850831,0.92548666,4.140943365,-1.590066296
135,Arctostaphylos uva-ursi,160.9777175,0.070892685,32.06799737,34.80458061,0,0,-0.03233397,-0.257576628,0.132285711
136,Arctostaphylos viscida,52.18024506,0.195829932,47.89863982,56.38594254,0.817248926,0,0.188218884,0,-0.21310884
137,Arenaria congesta,177.511153,0.253603485,14.84248335,18.44584787,0,0,0.04666342,0,0.108997258
138,Arenaria lanuginosa,197.5375467,0.036940978,26.4852932,26.91804408,0.117057493,-0.201206542,-0.018272567,0,-0.026835849
139,Argemone munita,136.1074072,0.380507416,33.16448373,44.89220122,0.441404716,-0.322726833,0.082697985,0,0.002378941
140,Arisaema triphyllum,121.82742,0.300459839,16.2758218,20.22429047,0.288504005,-0.067728479,-0.04566248,-0.315545839,0.156765857
141,Aristida adscensionis,742.9316842,0.148691784,65.49367169,70.73222222,-1.879797008,-2.746153236,3.558269523,-4.402390725,0
142,Arnica chamissonis,183.0835679,0.195900544,15.1751278,17.76802071,0.113361754,0,0,-0.126369722,0.086643846
143,Arnica cordifolia,223.0904624,0.340933408,17.72184374,22.50136813,-0.183050945,-0.013698105,0.011905981,-0.908681464,0.077184507
144,Arnica fulgens,153.6766963,0.274834875,12.01985133,15.56919101,0.115167413,0,0.005421929,-0.241503647,0.103168884
145,Arnica gracilis,163.4463201,0.341585965,15.56146353,19.9616,0.104100214,0.017625629,0.020974951,-0.066385129,0.081061185
146,Arnica latifolia,195.9268387,0.162485713,14.07858526,15.53954165,0,0,0.009298264,-0.239287001,0.042329661
147,Arnica longifolia,209.0443442,0.163067059,12.40050773,13.58221123,0,0,0.014121762,0,0.054004314
148,Arnica mollis,231.7439022,0.123524804,13.26832283,14.16590212,-0.108937828,0.571155427,0.017144828,-0.438751962,0.015868594
149,Arnica rydbergii,193.8086111,0.18266891,11.62565422,13.09045518,0,0,-0.00653813,0,0.054212431
150,Arnica sororia,240.4680085,0.45379356,11.16149765,15.07412272,-0.232290881,0,0.03195712,-1.045052275,0.026270534
151,Arrhenatherum elatius,284.0452668,0.173775795,20.9892954,24.69950113,-0.654509534,0,0.009839829,-0.496320338,0.303850917
152,Artemisia arbuscula,204.5981944,0.054784942,28.64205014,28.66319444,0.033534963,-0.002379286,0.058464517,-0.011089262,0.024009333
153,Artemisia cana,242.3717277,0,25.92341219,25.92341219,0,0,0,0,4.01E-18
154,Artemisia carruthii,236.7087205,0.099665734,16.64883211,17.71957672,0,0,-0.041668798,0.216049617,0
155,Artemisia douglasiana,250.5211942,0.031894195,31.25763755,31.63192744,-0.02835809,0.014438154,-0.045760553,0.007424412,0
156,Artemisia ludoviciana,247.394167,0.115094289,24.25441984,26.15089771,-0.208965513,0.285693527,0.00536102,0.09533006,0.04536001
157,Artemisia michauxiana,245.2614161,0.301384216,14.78858038,17.23036725,-0.191643415,0,0.005474857,-0.793434091,0.063269849
158,Artemisia nova,259.7903153,0.124201236,24.41873249,25.47492781,-0.081318831,-0.091280615,0.090316976,0.014647606,-0.260963826
159,Artemisia papposa,-133.3520201,0.202200595,17.18461174,20.07151096,1.389257677,-2.257663846,-0.142737074,3.079283056,0.428987532
160,Artemisia spiciformis,307.045222,0.197997205,14.99185528,16.61655335,-0.427391695,-2.055902886,0.0076962,0,0.077768931
161,Artemisia tridentata,248.3892813,0.008440926,32.63467121,33.03129353,-0.06584752,0,0,0.052051021,0
162,Asarum canadense,149.3522244,0.231839644,14.87210415,17.39386095,0,0,0,-0.467222729,0.035556562
163,Asarum caudatum,198.4344289,0.240755981,21.43008162,24.93803508,0,-0.722920707,-0.024979121,-0.225076145,0.051834186
164,Asclepias asperula,145.6153772,0.238913838,20.10036262,24.93937013,0.208396186,-0.115193913,0.035571409,-0.205128163,0.106125545
165,Asclepias fascicularis,200.6234568,0,28.87806737,28.87806737,0,0,1.21E-17,0,0
166,Asclepias incarnata,294.1866983,0.269692377,11.1160606,12.75428571,-0.755261727,0.555450577,0.061196319,0,0.037562073
167,Asclepias speciosa,214.2114488,0.258453255,14.71314905,18.26958113,0,0,0.046046724,-0.680245613,0.034097763
168,Asclepias subverticillata,211.2238806,0,21.83574664,21.83574664,2.00E-18,0,0,0,0
169,Asclepias tuberosa,195.585992,0.140046183,17.68836649,20.18786621,0,0,0.09585081,-0.233280074,0
170,Asclepias verticillata,206.4152605,0.053932649,19.269951,19.88968687,0,0,0.097882889,0,0
171,Asperugo procumbens,181.3266949,0.344741615,11.94673925,15.321543,0,0,0,-0.649445146,0
172,Aster breweri,218.6132045,0.040167419,14.39078316,14.86083816,0,0,0.012196189,0,0.00304632
173,Aster subulatus,265.4648234,0.07474918,23.59191391,25.51811825,-0.303378438,-0.496622741,0.205299874,0.668990167,-0.561583944
174,Astragalus adsurgens,177.3690727,0.096662817,11.58715483,12.2966577,0,0,0,0,0.101918515
175,Astragalus amphioxys,174.8577183,0.192815939,21.1772569,23.4146579,0,-0.34374752,-0.110823111,-0.534033559,0
176,Astragalus arizonicus,100.5760214,0.161474385,16.19401095,16.92441917,0.141261634,0,0.174235926,-0.08362598,0.178414367
177,Astragalus bisulcatus,162.5314775,0.201308294,11.72139425,12.61376543,0.123841424,-0.02359288,-0.210067052,-0.160291219,0.167239203
178,Astragalus calycosus,127.137,0.314997431,20.8949611,30.14638566,0.223552798,-0.222292972,-0.057569105,-0.308089658,0.286206977
179,Astragalus canadensis,193.4863053,0.218311218,12.59435228,14.37643655,0,0,0.008778939,-0.215128527,0.085591374
180,Astragalus crassicarpus,139.2591721,0.093426008,12.85694465,13.16494083,0.078560053,-0.004926482,0.02259249,-0.089808371,0.049105981
181,Astragalus didymocarpus,236.5771814,0.208045134,14.71466219,16.26007559,-0.03349064,0.177209586,1.671084852,-1.680741218,-6.273408078
182,Astragalus douglasii,135.7625945,0.199760981,31.04572958,35.45288483,0.427289767,0.537116577,0,-0.806077724,0
183,Astragalus drummondii,190.8987146,0.352841621,10.10114755,12.12789352,0.035504493,0,0,-0.788341306,0
184,Astragalus filipes,150.8269987,0.156497685,14.39018798,17.21322336,0.05079349,0.018877906,0.079935213,-0.046531232,0.119761732
185,Astragalus gambelianus,69.62404991,0.209005122,13.20773507,14.41514576,0.187397766,0.669361259,1.568880674,-0.261596013,2.918866027
186,Astragalus inflexus,225.0834364,0.492608979,13.05252571,18.8709931,-0.233860367,-0.474108766,-0.127029501,-0.843845697,0.264332048
187,Astragalus kentrophyta,194.532946,0.056749767,15.87248845,16.3499865,0,0,0.001209244,0,0.04423588
188,Astragalus layneae,65.92046331,0.196487238,16.64356956,18.8423134,0.44135638,0,0,0,0
189,Astragalus lentiginosus,108.8805456,0.302765156,22.79529041,30.82174843,0.307229868,-0.190863453,0.087124931,-0.10255591,0.167681
190,Astragalus miser,182.3582796,0.234400606,15.2693784,17.44979428,0,0,0.024550142,-0.470048991,0.051016851
191,Astragalus missouriensis,147.3576873,0.165549475,11.50000064,12.83705247,0.18596579,-0.248572223,-0.039681139,-0.40816344,-0.098076064
192,Astragalus nuttallianus,93.415427,0.219978551,17.98064089,21.58882689,0.571957899,0.236623534,-0.634920379,-0.634457997,0.473469946
193,Astragalus purshii,161.2015403,0.363735353,15.76583652,20.99989259,0,0,0.056342189,-0.585006508,0.059735297
194,Astragalus tenellus,167.7837617,0.065982522,12.67978988,13.82583622,0.131125898,0,0.002159547,-0.126010402,0.003130336
195,Astragalus tephrodes,186.6462412,0.242104558,15.68626065,17.98226563,-0.196818104,0,-0.035111002,-0.824494993,0.180562332
196,Astragalus trichopodus,103.057971,0,34.18756564,34.18756564,0,-1.39E-18,0,0,0
197,Astragalus vexilliflexus,151.0427968,0.216670566,16.89501368,21.01807851,0.165651726,0,0.024725233,-0.141862775,0.07203467
198,Athysanus pusillus,80.13753645,0.361909694,18.08263501,23.4424887,0.379019256,0.204799846,0.118644278,-0.322186433,-0.131441594
199,Atrichoseris platyphylla,74.57895902,0.217633421,17.0317517,19.12653734,0.445488242,0,0,0,0
200,Atriplex canescens,111.4822516,0.04615215,46.39558345,46.58783174,0.478730166,0.327075175,0,0,0
201,Atriplex confertifolia,110.8631003,0.08174671,32.03961253,34.60693359,0.371551899,0,0,0,0
202,Atriplex suckleyi,266.3270215,0.195978815,17.58475139,20.07801653,-0.066067219,-5.253402723,-1.041151379,-0.860950114,-0.009208574
203,Avena barbata,91.57239267,0.158662225,26.84122037,29.58767023,0.36198835,0,0.445915516,0,0
204,Avena fatua,224.0594509,0.563424522,29.65818678,51.28313649,0.009376049,-0.976602388,0.11629421,-0.555020203,0
205,Baccharis pilularis,285.2441315,0,38.07079724,38.07079724,0,0,0,0,0
206,Baccharis salicifolia,123.775,0,58.841,58.841,0,0,0,0,0
207,Baccharis sergiloides,272.8229797,0.025360849,55.68608312,55.93298759,-0.356115207,0,0,0,0
208,Bahia dissecta,187.2298609,0.060558119,15.45294537,15.96609523,0.317249106,0.249136408,-0.012903708,0.318212059,-0.04235914
209,Bahiopsis laciniata,310.2464048,0.07833741,39.02984825,40.83353151,-0.236291005,1.441893092,0.919281966,-3.467077414,0
210,Bahiopsis parishii,390.7057459,0.100187494,64.23835394,66.94514378,-0.68995217,-2.689486907,5.564529578,-0.856742217,-18.45172098
211,Baileya multiradiata,248.7055999,0.071360116,53.2513909,56.20547989,0,-0.611640444,-0.739470541,-0.940384552,0
212,Baileya pauciradiata,97.04551573,0.070048739,23.44685315,25.51313609,0.351910988,-0.199477414,0.018109448,-0.073403824,0
213,Baileya pleniradiata,68.37788415,0.134719598,35.4523643,41.56765248,0.691186053,0,0,0,0
214,Balsamorhiza deltoidea,170.1381813,0.260340257,19.63153466,22.3508342,0.08943951,0,-0.140767295,-0.609828518,0.379721205
215,Balsamorhiza hookeri,172.3375735,0.371629245,15.50935737,19.47457515,0,0,0.014172027,-0.797201706,0.011136431
216,Balsamorhiza incana,237.4717526,0.208776327,10.39893154,11.60410503,-0.341906258,0.764666069,-0.059528777,-0.987887771,0.083967084
217,Balsamorhiza sagittata,185.9292215,0.464726083,16.07578881,24.61660538,0,0,0.007041658,-0.999114451,0.045271261
218,Barbarea orthoceras,126.5021187,0.548206327,18.74197706,29.42706558,0.304334915,0,0.026537633,-0.321370123,0.044847316
219,Barbarea vulgaris,89.11990858,0.211420467,12.70629508,14.8640114,0.378446745,0.229697355,0.020407903,0,0.086457438
220,Bassia hyssopifolia,232.6902655,0,30.33565667,30.33565667,0,0,0,0,0
221,Bassia scoparia,109.3149616,0.098518437,27.51723687,28.5021691,0.592891324,0.358472638,0.231860581,0.695848,0
222,Bebbia juncea,140.2994924,0,57.8800536,57.8800536,1.92E-18,0,0,0,0
223,Beckmannia syzigachne,196.1221196,0.355692155,18.11318583,21.72730716,0.077087509,-0.725124263,0.042118414,0,-0.078874328
224,Berberis aquifolium,-7.130827717,0.29415618,27.7528087,35.05453857,1.084363446,0.633789134,-0.139360247,0,0.16585594
225,Berberis repens,159.5548079,0.338363577,14.95590638,19.27954631,0,0,0.01175141,-0.588829973,0.057739114
226,Berteroa incana,219.6507861,0.079977196,27.23397271,29.0359635,0,0.761150888,0.093667761,-0.727693076,-0.120024793
227,Berula erecta,213.4444444,0,25.64403292,25.64403292,0,0,0,0,0
228,Betula occidentalis,98.5044952,0.094479714,32.54298364,34.92449807,0.461815288,0,0,0,0
229,Bidens cernua,259.1541078,0.025758943,17.18166019,17.68521645,-0.112385477,0,-0.000730258,0,-0.001953266
230,Bidens frondosa,254.3295134,0.002972378,16.79422564,16.84210526,0,0,-0.007843107,0,0
